acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
38859,ALAN SMITH,Q46512764,LYNN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,IN THE CENTER RING,36
38859,ALAN SMITH,Q15825311,LARRY SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE PIANO PLAYER,31
38859,ALAN SMITH,Q90299042,DYLAN AKIO SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE CABIN MOVIE,38
38859,ALAN SMITH,Q109752580,DARIAN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,YOUNG WOMEN HUNTING,39
38859,ALAN SMITH,Q3782866,HAMILTON SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,AMERICAN MAID,25
38859,ALAN SMITH,Q350552,KALMAN MIKSZATH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,AND THE PLAINS ARE GLEAMING,49
38859,ALAN SMITH,Q7442529,SEBASTIAN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,BADGER'S GREEN,14
38859,ALAN SMITH,Q428493,SMITH BALLEW,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,PANAMINT'S BAD MAN,33
38859,ALAN SMITH,Q5489672,FRANK SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,GULLIVER'S TRAVELS,33
38859,ALAN SMITH,Q6681273,LORING SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,PAT AND MIKE,36
38859,ALAN SMITH,Q242482,ALEXIS SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE HORN BLOWS AT MIDNIGHT,49
38859,ALAN SMITH,Q4707032,ALAN KEITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,DANGEROUS MOONLIGHT,29
38859,ALAN SMITH,Q1356617,PAUL SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,SO DEAR TO MY HEART,35
38859,ALAN SMITH,Q2864563,ART SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,RIDE THE PINK HORSE,42
38859,ALAN SMITH,Q2713545,HAL SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE HIGH COST OF LOVING,39
38859,ALAN SMITH,Q3371503,PAUL J. SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,CHILLY WILLY,15
38859,ALAN SMITH,Q3481634,SHAWN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,IT! THE TERROR FROM BEYOND SPACE,38
