acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
76028,MICHAEL HIRSH,Q16107356,MICHAEL JENKINS,A COSMIC CHRISTMAS,"CAREFUL, HE MIGHT HEAR YOU",33
76028,MICHAEL HIRSH,Q16107356,MICHAEL JENKINS,BABAR. RACE TO THE MOON; NO PLACE LIKE HOME,THREE MEN OF THE CITY,39
76028,MICHAEL HIRSH,Q16107356,MICHAEL JENKINS,BABAR: THE CITY OF ELEPHANTS,THREE MEN OF THE CITY,58
76028,MICHAEL HIRSH,Q16107356,MICHAEL JENKINS,BABAR. BABAR'S FIRST STEP. CITY WAYS. (CAPTIONED),THE HEARTBREAK KID,26
76028,MICHAEL HIRSH,Q16107356,MICHAEL JENKINS,THE DEVIL AND DANIEL MOUSE,THREE MEN OF THE CITY,38
76028,MICHAEL HIRSH,Q16107356,MICHAEL JENKINS,BABAR. BABAR'S TRIUMPH,THE HEARTBREAK KID,31
76028,MICHAEL HIRSH,Q16107356,MICHAEL JENKINS,SKY PIRATES,EMERALD CITY,26
76028,MICHAEL HIRSH,Q2388845,MICHAEL CARSON,A COSMIC CHRISTMAS,INTIMATE STRANGERS,33
76028,MICHAEL HIRSH,Q2388845,MICHAEL CARSON,BABAR. RACE TO THE MOON; NO PLACE LIKE HOME,CRIME OF THE DECADE,37
76028,MICHAEL HIRSH,Q2388845,MICHAEL CARSON,BABAR: THE CITY OF ELEPHANTS,THE BITE,46
76028,MICHAEL HIRSH,Q2388845,MICHAEL CARSON,BABAR. BABAR'S FIRST STEP. CITY WAYS. (CAPTIONED),CORALIE LANSDOWNE SAYS NO,32
76028,MICHAEL HIRSH,Q2388845,MICHAEL CARSON,THE DEVIL AND DANIEL MOUSE,CRIME OF THE DECADE,49
76028,MICHAEL HIRSH,Q2388845,MICHAEL CARSON,BABAR. BABAR'S TRIUMPH,NATURAL CAUSES,29
76028,MICHAEL HIRSH,Q2388845,MICHAEL CARSON,SKY PIRATES,THE BITE,42
76028,MICHAEL HIRSH,Q344973,MICHAEL IRONSIDE,A COSMIC CHRISTMAS,THE MACHINIST,45
76028,MICHAEL HIRSH,Q344973,MICHAEL IRONSIDE,BABAR. RACE TO THE MOON; NO PLACE LIKE HOME,THE FALCON AND THE SNOWMAN,45
76028,MICHAEL HIRSH,Q344973,MICHAEL IRONSIDE,BABAR: THE CITY OF ELEPHANTS,THE ALPHABET KILLER,48
76028,MICHAEL HIRSH,Q344973,MICHAEL IRONSIDE,BABAR. BABAR'S FIRST STEP. CITY WAYS. (CAPTIONED),THE MACHINIST,35
76028,MICHAEL HIRSH,Q344973,MICHAEL IRONSIDE,THE DEVIL AND DANIEL MOUSE,THE GLASS SHIELD,48
76028,MICHAEL HIRSH,Q344973,MICHAEL IRONSIDE,BABAR. BABAR'S TRIUMPH,THE ARROW,40
76028,MICHAEL HIRSH,Q344973,MICHAEL IRONSIDE,SKY PIRATES,PATIENT SEVEN,50
76028,MICHAEL HIRSH,Q20630818,MICHAEL CHERNUS,A COSMIC CHRISTMAS,GLASS CHIN,43
76028,MICHAEL HIRSH,Q20630818,MICHAEL CHERNUS,BABAR. RACE TO THE MOON; NO PLACE LIKE HOME,THE BOURNE LEGACY,41
76028,MICHAEL HIRSH,Q20630818,MICHAEL CHERNUS,BABAR: THE CITY OF ELEPHANTS,THE FAMILY FANG,48
76028,MICHAEL HIRSH,Q20630818,MICHAEL CHERNUS,BABAR. BABAR'S FIRST STEP. CITY WAYS. (CAPTIONED),THE BOURNE LEGACY,33
76028,MICHAEL HIRSH,Q20630818,MICHAEL CHERNUS,THE DEVIL AND DANIEL MOUSE,LOVE AND OTHER DRUGS,52
76028,MICHAEL HIRSH,Q20630818,MICHAEL CHERNUS,BABAR. BABAR'S TRIUMPH,THE KINDERGARTEN TEACHER,36
76028,MICHAEL HIRSH,Q20630818,MICHAEL CHERNUS,SKY PIRATES,GLASS CHIN,38
76028,MICHAEL HIRSH,Q15451364,MICHAEL GOI,A COSMIC CHRISTMAS,WORDS ON BATHROOM WALLS,44
76028,MICHAEL HIRSH,Q15451364,MICHAEL GOI,BABAR. RACE TO THE MOON; NO PLACE LIKE HOME,THE TOWN THAT DREADED SUNDOWN,37
76028,MICHAEL HIRSH,Q15451364,MICHAEL GOI,BABAR: THE CITY OF ELEPHANTS,THE TOWN THAT DREADED SUNDOWN,36
76028,MICHAEL HIRSH,Q15451364,MICHAEL GOI,BABAR. BABAR'S FIRST STEP. CITY WAYS. (CAPTIONED),WORDS ON BATHROOM WALLS,30
76028,MICHAEL HIRSH,Q15451364,MICHAEL GOI,THE DEVIL AND DANIEL MOUSE,THE TOWN THAT DREADED SUNDOWN,33
76028,MICHAEL HIRSH,Q15451364,MICHAEL GOI,BABAR. BABAR'S TRIUMPH,WORDS ON BATHROOM WALLS,27
76028,MICHAEL HIRSH,Q15451364,MICHAEL GOI,SKY PIRATES,EXPECTING MARY,32
76028,MICHAEL HIRSH,Q6831635,MICHAEL JIBSON,A COSMIC CHRISTMAS,A VIKING SAGA: THE DARKEST DAY,38
