acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
77127,RICHARD CAMPBELL,Q56215702,MICHAEL CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,D-DAY ASSAULT ON FORTRESS EUROPE,26
77127,RICHARD CAMPBELL,Q295847,RICHARD CHAMBERLAIN,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE MUSIC LOVERS,43
77127,RICHARD CAMPBELL,Q5592226,GRAEME CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE MAN IN THE ATTIC,28
77127,RICHARD CAMPBELL,Q436861,KELLY REICHARDT,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,RIVER OF GRASS,28
77127,RICHARD CAMPBELL,Q1370525,KAREEM CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,20 SHOT SEQUENCE,23
77127,RICHARD CAMPBELL,Q4225064,RICHARD COBBOLD,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE ROMANTIC STORY OF MARGARET CATCHPOLE,38
77127,RICHARD CAMPBELL,Q5102318,RICHARD NEILL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE ACTIVE LIFE OF DOLLY OF THE DAILIES,39
77127,RICHARD CAMPBELL,Q2567590,RICHARD ALLEN,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE TRAIL OF THE LONESOME PINE,38
77127,RICHARD CAMPBELL,Q995807,RICHARD FALK,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,HARRISON AND BARRISON,25
77127,RICHARD CAMPBELL,Q46737704,MAURICE S. CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,"OH, LADY, LADY",32
77127,RICHARD CAMPBELL,Q2149062,RICHARD BERCZELLER,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,SODOM UND GOMORRHA,16
77127,RICHARD CAMPBELL,Q1302593,RICHARD CARLE,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE TRAIL OF THE LONESOME PINE,38
77127,RICHARD CAMPBELL,Q1597198,RICHARD CRAMER,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,WEST OF PINTO BASIN,35
77127,RICHARD CAMPBELL,Q3790184,RICHARD CONNELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE MOST DANGEROUS WOMAN ALIVE,43
