acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
81824,ERIC MERTON,Q50764,ERIC ROHMER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],PAULINE AT THE BEACH,36
81824,ERIC MERTON,Q769826,MARTIN FRIC,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE POACHER'S FOSTER DAUGHTER OR NOBLE MILLIONAIRE,39
81824,ERIC MERTON,Q5387056,ERIC MASON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THEY MET IN THE DARK,30
81824,ERIC MERTON,Q2437296,ERIC LARSON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],SO DEAR TO MY HEART,17
81824,ERIC MERTON,Q24018676,ATLE MERTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],YOUNG SINNERS,18
81824,ERIC MERTON,Q7364306,RON RICE,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],QUEEN OF SHEBA MEETS THE ATOM MAN,36
81824,ERIC MERTON,Q12807,UMBERTO ECO,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],WALT DISNEY E L'ITALIA - UNA STORIA D'AMORE,28
81824,ERIC MERTON,Q7364308,RON RICH,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE FORTUNE COOKIE,26
81824,ERIC MERTON,Q3938893,ROBERTO LERICI,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],COME UNA ROSA AL NASO,23
81824,ERIC MERTON,Q5387122,ERIC MONTE,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],COOLEY HIGH,14
81824,ERIC MERTON,Q3056427,ERIC WESTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE BILLION DOLLAR HOBO,23
81824,ERIC MERTON,Q1351592,ERIC ROBERTSON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],HOME IS WHERE THE HART IS,28
81824,ERIC MERTON,Q5482904,ERIC KARSON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE OCTAGON,21
81824,ERIC MERTON,Q2179433,ERIC PETERSON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE LAST SEASON,27
81824,ERIC MERTON,Q3725911,ENRICO MENTANA,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],ALL THE MORON'S MEN,26
81824,ERIC MERTON,Q86487,FREDERIC MORTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],JOHANN STRAUSS - DER KONIG OHNE KRONE,24
81824,ERIC MERTON,Q3090036,FREDERIC MERLO,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],LA REVOLUTION FRANCAISE,25
81824,ERIC MERTON,Q22101717,MARC MERSON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],DOC HOLLYWOOD,14
81824,ERIC MERTON,Q3056350,ERIC MILLER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],PRELUDE TO A KISS,20
81824,ERIC MERTON,Q4696499,ERIC GORDON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],SPACE JAM,12
81824,ERIC MERTON,Q551621,ERIC PETERSON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],VIRUS,8
81824,ERIC MERTON,Q5386449,ERIC ERICSON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE KEEPER OF LOST CAUSES,26
81824,ERIC MERTON,Q1351728,ERIC WATSON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],REQUIEM FOR A DREAM,26
81824,ERIC MERTON,Q5262580,DERICK MARTINI,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE CURSE OF DOWNERS GROVE,28
81824,ERIC MERTON,Q16028683,ERIC MARTIN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],LOCKED-IN SYNDROME,24
81824,ERIC MERTON,Q3591169,ERIC GUERET,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],WASTE: THE NUCLEAR NIGHTMARE,24
81824,ERIC MERTON,Q5387058,ERIC MASTERSON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],SUPERMAN VS. SPIDER-MAN XXX: AN AXEL BRAUN PARODY,36
81824,ERIC MERTON,Q491580,ERIC MUN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],DIARY OF JUNE,16
81824,ERIC MERTON,Q24809569,ERIC MCLEOD,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],PIRATES OF THE CARIBBEAN: DEAD MAN'S CHEST,16
81824,ERIC MERTON,Q106374620,ERIC MILLER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],MARK OF THE DAMNED,24
81824,ERIC MERTON,Q60683607,ERICA VON MOELLER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],FRAULEIN STINNES FAHRT UM DIE WELT,24
81824,ERIC MERTON,Q954574,ERIC KOSTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],FULLY FLARED,14
81824,ERIC MERTON,Q5387816,ERIC ZIMMERMAN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],A QUIET LITTLE MARRIAGE,25
81824,ERIC MERTON,Q3726026,ENRICO REMMERT,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],ASPETTANDO IL SOLE,15
81824,ERIC MERTON,Q1930921,ERIC MOO,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],ICE KACANG PUPPY LOVE,21
81824,ERIC MERTON,Q1351264,ERIC ERICSON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE KEEPER OF LOST CAUSES,26
81824,ERIC MERTON,Q16634823,ERIC VERDIN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],BREVES DE COMPTOIR,13
81824,ERIC MERTON,Q3961036,SIMEON RICE,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],UNSULLIED,7
81824,ERIC MERTON,Q1351266,ERIC ERLANDSON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],KURT COBAIN: MONTAGE OF HECK,18
81824,ERIC MERTON,Q27733254,GEORGIA PEMBERTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN,29
81824,ERIC MERTON,Q24640002,ERIC MEROLA,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],BURZYNSKI: THE CANCER CURE COVER-UP,22
