acmi-data-creator,wikidata-data-creator,acmi-data-work,wikidata-data-work
51033,Q55282,79260,Q573762
51033,Q55282,83048,Q661202
51033,Q55282,81350,Q2297293
51033,Q55282,85890,Q1170853
51033,Q55282,86258,Q1211345
51033,Q55282,94153,Q2525174
51033,Q55282,83120,Q673738
72600,Q455279,92697,Q1170554
72600,Q455279,88188,Q1332263
34778,Q6245851,93104,Q795680
3446,Q709413,81303,Q32011
3446,Q709413,81196,Q957893
3446,Q709413,79518,Q636534
3446,Q709413,88450,Q2323002
3446,Q709413,81916,Q2186004
3446,Q709413,81085,Q632753
3446,Q709413,81220,Q1508130
3446,Q709413,79447,Q2556456
3446,Q709413,95629,Q1507560
3446,Q709413,88469,Q960349
3446,Q709413,81242,Q3070718
3446,Q709413,88434,Q1881769
3446,Q709413,91641,Q577757
3446,Q709413,81298,Q747570
3446,Q709413,95599,Q3206606
3446,Q709413,79684,Q538600
3446,Q709413,88493,Q2530954
3446,Q709413,87800,Q547209
3446,Q709413,81274,Q1066873
3446,Q709413,84592,Q2371931
3567,Q73089,81303,Q32011
3567,Q73089,84644,Q475293
3567,Q73089,94681,Q48816087
3583,Q48765,81303,Q32011
3583,Q48765,79665,Q496266
3583,Q48765,88491,Q5212720
3583,Q48765,95428,Q1298926
3583,Q48765,82904,Q2870390
3583,Q48765,81180,Q662679
3583,Q48765,81223,Q1462145
3583,Q48765,79684,Q538600
3583,Q48765,84568,Q147068
76511,Q69810,91960,Q64211902
76511,Q69810,79670,Q321468
76511,Q69810,93174,Q799096
2923,Q707336,87280,Q1081392
2923,Q707336,90410,Q914994
29266,Q15917676,87280,Q1081392
78285,Q715455,92439,Q595196
78285,Q715455,92374,Q595196
79784,Q2980777,92439,Q595196
79784,Q2980777,92374,Q595196
71411,Q461529,89491,Q208592
71411,Q461529,92485,Q603865
71411,Q461529,81252,Q2344050
71411,Q461529,87544,Q559907
71411,Q461529,85638,Q931165
71411,Q461529,88321,Q214801
71411,Q461529,87121,Q1475611
71411,Q461529,94851,Q168862
71411,Q461529,94979,Q157044
72235,Q4679747,89491,Q208592
72235,Q4679747,88321,Q214801
72235,Q4679747,90545,Q564958
2889,Q56008,89491,Q208592
2889,Q56008,90480,Q189054
2889,Q56008,89318,Q639481
2889,Q56008,87798,Q271690
2889,Q56008,87943,Q2293972
2889,Q56008,90478,Q221345
2889,Q56008,94875,Q278997
2889,Q56008,84593,Q217182
2889,Q56008,85656,Q116852
2889,Q56008,86666,Q322328
37391,Q1063846,95183,Q3025433
1714,Q51491,80807,Q132689
1714,Q51491,95605,Q1213617
1714,Q51491,82201,Q979726
1714,Q51491,84784,Q584824
1714,Q51491,83157,Q1570133
1714,Q51491,85382,Q1197830
1714,Q51491,93057,Q524997
1714,Q51491,95439,Q3018061
1714,Q51491,89571,Q1598010
1714,Q51491,81725,Q201234
1714,Q51491,88486,Q3400422
1714,Q51491,88508,Q148469
1714,Q51491,84672,Q1321622
1714,Q51491,93036,Q577872
1714,Q51491,84184,Q1425815
1714,Q51491,84572,Q946888
1714,Q51491,92340,Q1539276
28526,Q241242,86471,Q2658078
28527,Q241242,86471,Q2658078
28527,Q241242,116192,Q6960469
28527,Q241242,116120,Q2658078
28527,Q241242,116203,Q3119245
28528,Q55391,86471,Q2658078
28528,Q55391,116121,Q2621769
28528,Q55391,115897,Q786222
28528,Q55391,116238,Q664726
28528,Q55391,116120,Q2658078
28528,Q55391,88792,Q522032
28528,Q55391,88656,Q228937
28528,Q55391,91038,Q2385009
28528,Q55391,88795,Q2551779
28528,Q55391,116173,Q2565704
76829,Q953753,81196,Q957893
76829,Q953753,81295,Q719471
76829,Q953753,95599,Q3206606
77600,Q959677,84206,Q1594303
77600,Q959677,84677,Q2205352
77600,Q959677,86382,Q10319683
3559,Q364342,84206,Q1594303
3559,Q364342,93359,Q1749792
3559,Q364342,84677,Q2205352
3559,Q364342,79686,Q151923
3559,Q364342,85308,Q200299
3559,Q364342,80788,Q676039
3559,Q364342,88032,Q739241
3559,Q364342,79557,Q683957
3559,Q364342,84676,Q1194888
3559,Q364342,85627,Q1795987
3559,Q364342,83628,Q244448
3559,Q364342,88098,Q468484
13923,Q1655499,85354,Q950416
13923,Q1655499,66207,Q5138274
13923,Q1655499,67541,Q1418983
13776,Q3157245,85354,Q950416
13776,Q3157245,80826,Q3425311
13776,Q3157245,84136,Q7340832
71944,Q218022,83175,Q283036
71944,Q218022,115868,Q2038175
71944,Q218022,116072,Q890132
71944,Q218022,115867,Q225355
71944,Q218022,80019,Q508498
71944,Q218022,80862,Q2038175
9824,Q55277,91863,Q44491985
9824,Q55277,86945,Q1196911
9824,Q55277,92904,Q548303
9824,Q55277,89612,Q595047
9824,Q55277,89411,Q1753610
9824,Q55277,84984,Q206461
9824,Q55277,81417,Q1624413
9824,Q55277,86948,Q1213589
22931,Q1707323,80826,Q3425311
22931,Q1707323,81596,Q1477112
22931,Q1707323,84136,Q7340832
22931,Q1707323,85189,Q317585
22931,Q1707323,83245,Q1360124
22931,Q1707323,84943,Q1318050
22931,Q1707323,84586,Q1166360
66876,Q24829,84564,Q1214303
66876,Q24829,81313,Q628664
66876,Q24829,79537,Q24815
66876,Q24829,90703,Q778161
66876,Q24829,79552,Q978770
66876,Q24829,86634,Q2251852
66876,Q24829,83580,Q2704454
23592,Q573352,116019,Q735383
23592,Q573352,81324,Q735383
23589,Q505626,116019,Q735383
23589,Q505626,87169,Q850338
23589,Q505626,83969,Q850338
23589,Q505626,81324,Q735383
71660,Q153248,115896,Q3007766
